# Team 1: Vladimir (average 2662.6)
1. 2753 GM Kramnik, Vladimir [RUS]
2. 2717 GM Fedoseev, Vladimir [SLO]
3. 2642 GM Malakhov, Vladimir [FID]
4. 2603 FM Afromeev, Vladimir [RUS]
5. 2598 GM Belov, Vladimir [FID]

# Team 2: Alex (average 2651.8)
1. 2687 GM Grischuk, Alexander [RUS]
2. 2656 GM Morozevich, Alexander [RUS]
3. 2644 GM Ipatov, Alexander [TUR]
4. 2640 GM Onischuk, Alexander [USA]
5. 2632 GM Donchenko, Alexander [GER]

# Team 3: David (average 2646.4)
1. 2673 GM Howell, David W L [ENG]
2. 2671 GM Navara, David [CZE]
3. 2664 GM Anton Guijarro, David [ESP]
4. 2621 GM Paravyan, David [FID]
5. 2603 GM Baramidze, David [GER]

# Team 4: Ivan (average 2623.0)
1. 2667 GM Saric, Ivan [CRO]
2. 2646 GM Cheparinov, Ivan [BUL]
3. 2613 GM Popov, Ivan [RUS]
4. 2599 GM Salgado Lopez, Ivan [ESP]
5. 2590 GM Sokolov, Ivan [NED]

# Team 5: Peter (average 2622.6)
1. 2698 GM Svidler, Peter [FID]
2. 2666 GM Leko, Peter [HUN]
3. 2618 GM Nielsen, Peter Heine [DEN]
4. 2573 GM Acs, Peter [HUN]
5. 2558 GM Michalik, Peter [CZE]

# Team 6: Dmitry (average 2614.4)
1. 2695 GM Andreikin, Dmitry [FID]
2. 2682 GM Jakovenko, Dmitry [RUS]
3. 2613 GM Kononenko, Dmitry [UKR]
4. 2544 IM Obolenskikh, Dmitry [RUS]
5. 2538 GM Kokarev, Dmitry [RUS]

# Team 7: Evgeny (average 2613.8)
1. 2681 GM Tomashevsky, Evgeny [RUS]
2. 2620 GM Shtembuliak, Evgeny [UKR]
3. 2611 GM Bareev, Evgeny [CAN]
4. 2590 GM Romanov, Evgeny [MKD]
5. 2567 GM Postny, Evgeny [ISR]

# Team 8: Anton (average 2611.0)
1. 2631 GM Kovalyov, Anton [CAN]
2. 2627 GM Korobov, Anton [UKR]
3. 2619 GM Demchenko, Anton [SLO]
4. 2592 GM Filippov, Anton [UZB]
5. 2586 GM Smirnov, Anton [AUS]

# Team 9: Daniel (average 2597.2)
1. 2645 GM Dardha, Daniel [BEL]
2. 2619 GM Naroditsky, Daniel [USA]
3. 2605 GM Stellwagen, Daniel [NED]
4. 2576 GM Fridman, Daniel [GER]
5. 2541 GM Forcen Esteban, Daniel [ESP]

# Team 10: Sergey (average 2593.4)
1. 2750 GM Karjakin, Sergey [RUS]
2. 2560 GM Dolmatov, Sergey [RUS]
3. 2556 GM Fedorchuk, Sergey A. [UKR]
4. 2551 GM Smagin, Sergey [RUS]
5. 2550 GM Grigoriants, Sergey [HUN]

# Team 11: Boris (average 2593.0)
1. 2657 GM Gelfand, Boris [ISR]
2. 2608 GM Alterman, Boris [ISR]
3. 2585 GM Grachev, Boris [RUS]
4. 2567 GM Avrukh, Boris [ISR]
5. 2548 GM Spassky, Boris V. [RUS]

# Team 12: Sergei (average 2591.6)
1. 2637 GM Rublevsky, Sergei [RUS]
2. 2596 GM Azarov, Sergei [FID]
3. 2590 GM Movsesian, Sergei [ARM]
4. 2572 GM Zhigalko, Sergei [BLR]
5. 2563 GM Ovsejevitsch, Sergei [UKR]

# Team 13: Robert (average 2589.4)
1. 2626 GM Hovhannisyan, Robert [ARM]
2. 2594 GM Markus, Robert [SRB]
3. 2591 GM Hess, Robert [USA]
4. 2574 GM Huebner, Robert [GER]
5. 2562 GM Kempinski, Robert [POL]

# Team 14: Vladislav (average 2586.8)
1. 2691 GM Artemiev, Vladislav [RUS]
2. 2660 GM Tkachiev, Vladislav [FRA]
3. 2557 GM Kovalev, Vladislav [FID]
4. 2525 GM Borovikov, Vladislav [UKR]
5. 2501 IM Nozdrachev, Vladislav [RUS]

# Team 15: Andrey (average 2574.4)
1. 2699 GM Esipenko, Andrey [FID]
2. 2571 GM Baryshpolets, Andrey [UKR]
3. 2546 GM Stukopin, Andrey [RUS]
4. 2543 GM Rychagov, Andrey [RUS]
5. 2513 GM Kvon, Andrey [UZB]

# Team 16: Maxim (average 2570.2)
1. 2635 GM Rodshtein, Maxim [ISR]
2. 2623 GM Matlakov, Maxim [RUS]
3. 2543 GM Vavulin, Maxim [GER]
4. 2536 GM Turov, Maxim [RUS]
5. 2514 GM Dlugy, Maxim [USA]

